date,temperature_2m_max,temperature_2m_min,relative_humidity_2m_max,relative_humidity_2m_min,precipitation_sum
2024-01-09 00:00:00+00:00,26.146,17.196,92.0,55.0,0.0
2024-01-10 00:00:00+00:00,26.396,17.146,90.0,45.0,0.0
2024-01-11 00:00:00+00:00,28.696,16.246,93.0,32.0,0.0
2024-01-12 00:00:00+00:00,27.446,15.696,97.0,39.0,0.0
2024-01-13 00:00:00+00:00,27.896,16.396,97.0,41.0,0.0
2024-01-14 00:00:00+00:00,28.746,15.896,98.0,35.0,0.0
2024-01-15 00:00:00+00:00,28.296,15.596,98.0,38.0,0.0
2024-01-16 00:00:00+00:00,28.096,16.796,97.0,35.0,0.0
2024-01-17 00:00:00+00:00,28.446,16.446,96.0,37.0,0.0
2024-01-18 00:00:00+00:00,28.196,16.346,96.0,37.0,0.0
2024-01-19 00:00:00+00:00,29.146,17.446,97.0,36.0,0.0
2024-01-20 00:00:00+00:00,29.296,17.496,97.0,34.0,0.0
2024-01-21 00:00:00+00:00,29.696,17.146,96.0,33.0,0.0
2024-01-22 00:00:00+00:00,29.546,17.296,97.0,35.0,0.0
2024-01-23 00:00:00+00:00,29.396,16.896,95.0,33.0,0.0
2024-01-24 00:00:00+00:00,29.096,16.896,97.0,36.0,0.0
2024-01-25 00:00:00+00:00,28.696,16.646,95.0,34.0,0.0
2024-01-26 00:00:00+00:00,28.646,16.496,98.0,28.0,0.0
2024-01-27 00:00:00+00:00,28.196,16.046,97.0,34.0,0.0
2024-01-28 00:00:00+00:00,27.896,16.446,97.0,37.0,0.0
2024-01-29 00:00:00+00:00,27.996,15.246,96.0,36.0,0.0
2024-01-30 00:00:00+00:00,29.596,14.746,97.0,26.0,0.0
2024-01-31 00:00:00+00:00,29.996,17.046,97.0,31.0,0.0
2024-02-01 00:00:00+00:00,30.446,17.946,97.0,30.0,0.0
2024-02-02 00:00:00+00:00,29.996,19.596,96.0,35.0,0.0
2024-02-03 00:00:00+00:00,29.846,17.596,95.0,36.0,0.0
2024-02-04 00:00:00+00:00,30.296,16.246,96.0,30.0,0.0
2024-02-05 00:00:00+00:00,31.346,15.796,92.0,24.0,0.0
2024-02-06 00:00:00+00:00,32.646,16.096,93.0,19.0,0.0
2024-02-07 00:00:00+00:00,32.746,16.346,91.0,17.0,0.0
2024-02-08 00:00:00+00:00,33.096,16.846,82.0,18.0,0.0
2024-02-09 00:00:00+00:00,32.046,17.746,96.0,23.0,0.0
2024-02-10 00:00:00+00:00,29.996,17.796,97.0,34.0,0.0
2024-02-11 00:00:00+00:00,30.096,15.696,94.0,26.0,0.0
2024-02-12 00:00:00+00:00,31.196,15.046,98.0,17.0,0.0
2024-02-13 00:00:00+00:00,30.596,16.596,98.0,25.0,0.0
2024-02-14 00:00:00+00:00,29.996,17.096,95.0,34.0,0.0
2024-02-15 00:00:00+00:00,30.846,16.246,97.0,22.0,0.0
2024-02-16 00:00:00+00:00,30.196,16.346,95.0,31.0,0.0
2024-02-17 00:00:00+00:00,31.046,16.446,85.0,23.0,0.0
2024-02-18 00:00:00+00:00,31.496,16.996,90.0,20.0,0.0
2024-02-19 00:00:00+00:00,31.246,17.796,90.0,24.0,0.0
2024-02-20 00:00:00+00:00,31.646,18.546,92.0,24.0,0.0
2024-02-21 00:00:00+00:00,31.396,19.446,86.0,31.0,0.0
2024-02-22 00:00:00+00:00,32.196,20.296,77.0,24.0,0.0
2024-02-23 00:00:00+00:00,32.596,20.146,83.0,24.0,0.0
2024-02-24 00:00:00+00:00,32.696,20.996,84.0,29.0,0.0
2024-02-25 00:00:00+00:00,31.296,19.096,88.0,33.0,0.0
2024-02-26 00:00:00+00:00,30.596,18.046,91.0,33.0,0.0
2024-02-27 00:00:00+00:00,30.696,18.846,94.0,36.0,0.0
2024-02-28 00:00:00+00:00,32.296,16.846,90.0,18.0,0.0
2024-02-29 00:00:00+00:00,32.646,15.996,88.0,15.0,0.0
2024-03-01 00:00:00+00:00,32.196,16.846,90.0,19.0,0.0
2024-03-02 00:00:00+00:00,32.646,17.696,82.0,20.0,0.0
2024-03-03 00:00:00+00:00,32.896,18.996,86.0,22.0,0.0
2024-03-04 00:00:00+00:00,33.396,18.746,90.0,23.0,0.0
2024-03-05 00:00:00+00:00,34.496,19.696,94.0,20.0,0.0
2024-03-06 00:00:00+00:00,33.146,20.396,67.0,22.0,0.0
2024-03-07 00:00:00+00:00,33.746,20.296,70.0,21.0,0.0
2024-03-08 00:00:00+00:00,32.896,21.446,77.0,23.0,0.0
2024-03-09 00:00:00+00:00,33.146,22.396,74.0,25.0,0.0
2024-03-10 00:00:00+00:00,32.096,22.146,76.0,31.0,0.0
2024-03-11 00:00:00+00:00,33.396,21.296,74.0,23.0,0.0
2024-03-12 00:00:00+00:00,33.896,20.696,63.0,24.0,0.0
2024-03-13 00:00:00+00:00,33.696,21.796,80.0,25.0,0.0
2024-03-14 00:00:00+00:00,32.246,22.046,86.0,36.0,0.0
2024-03-15 00:00:00+00:00,34.196,23.046,83.0,25.0,0.1
2024-03-16 00:00:00+00:00,33.296,22.146,84.0,25.0,0.0
2024-03-17 00:00:00+00:00,33.246,21.496,84.0,21.0,0.0
2024-03-18 00:00:00+00:00,33.646,21.396,77.0,22.0,0.0
2024-03-19 00:00:00+00:00,33.646,21.046,76.0,21.0,0.0
2024-03-20 00:00:00+00:00,34.146,20.196,86.0,23.0,0.0
2024-03-21 00:00:00+00:00,31.596,20.696,88.0,32.0,0.0
2024-03-22 00:00:00+00:00,32.596,20.446,89.0,27.0,0.0
2024-03-23 00:00:00+00:00,34.096,19.796,94.0,21.0,0.0
2024-03-24 00:00:00+00:00,34.696,20.446,74.0,15.0,0.0
2024-03-25 00:00:00+00:00,34.996,19.746,80.0,18.0,0.0
2024-03-26 00:00:00+00:00,35.196,19.946,79.0,16.0,0.0
2024-03-27 00:00:00+00:00,34.796,19.046,91.0,14.0,0.0
2024-03-28 00:00:00+00:00,34.746,20.096,90.0,19.0,0.0
2024-03-29 00:00:00+00:00,35.096,21.246,81.0,21.0,0.0
2024-03-30 00:00:00+00:00,35.646,21.096,77.0,15.0,0.0
2024-03-31 00:00:00+00:00,34.696,20.346,82.0,20.0,0.0
2024-04-01 00:00:00+00:00,35.096,20.596,89.0,23.0,0.0
2024-04-02 00:00:00+00:00,36.646,22.246,87.0,15.0,0.0
2024-04-03 00:00:00+00:00,36.246,21.796,83.0,17.0,0.0
2024-04-04 00:00:00+00:00,35.896,21.796,79.0,16.0,0.0
2024-04-05 00:00:00+00:00,36.796,22.546,66.0,16.0,0.0
2024-04-06 00:00:00+00:00,37.146,23.146,55.0,18.0,0.0
2024-04-07 00:00:00+00:00,36.396,22.246,75.0,15.0,0.0
2024-04-08 00:00:00+00:00,36.446,22.546,63.0,19.0,0.0
2024-04-09 00:00:00+00:00,34.796,21.146,92.0,24.0,0.0
2024-04-10 00:00:00+00:00,35.196,21.446,95.0,22.0,0.0
2024-04-11 00:00:00+00:00,35.596,21.096,89.0,20.0,0.0
2024-04-12 00:00:00+00:00,35.146,21.846,88.0,24.0,0.0
2024-04-13 00:00:00+00:00,35.296,20.846,92.0,23.0,0.0
2024-04-14 00:00:00+00:00,35.846,22.046,84.0,22.0,0.0
2024-04-15 00:00:00+00:00,36.046,21.796,83.0,23.0,0.0
2024-04-16 00:00:00+00:00,36.596,22.196,82.0,21.0,0.0
2024-04-17 00:00:00+00:00,37.046,23.646,81.0,23.0,0.0
2024-04-18 00:00:00+00:00,37.6705,24.346,84.0,19.0,0.0
2024-04-19 00:00:00+00:00,36.870502,25.670502,61.0,21.0,0.3
2024-04-20 00:00:00+00:00,37.6705,26.0705,60.0,16.0,0.0
2024-04-21 00:00:00+00:00,36.870502,24.7205,65.0,16.0,0.0
2024-04-22 00:00:00+00:00,34.620502,23.3205,66.0,22.0,0.0
2024-04-23 00:00:00+00:00,28.7705,22.0205,80.0,44.0,0.6
2024-04-24 00:00:00+00:00,30.620499,22.0705,79.0,43.0,0.3
2024-04-25 00:00:00+00:00,32.1705,22.9705,77.0,34.0,0.5
